stop_id,stop_name,capacity,latitude,longitude,category
U101131,復興南路1段340巷口,38,25.03701,121.54348,高
U101132,建國濟南路口,29,25.03935,121.53828,高
U101133,捷運忠孝復興站(2號出口),43,25.04035,121.5436,高
U101134,捷運大安站(4號出口),13,25.0332,121.5439,中
U101135,捷運大安站(2號出口),22,25.03358,121.54141,中
U101136,信義大安路口(信維大樓),12,25.03317,121.54639,中
U101137,龍門廣場,50,25.04092,121.54825,中
U101138,仁愛安和路口,25,25.03754,121.55285,中
U101139,信義敦化路口,46,25.03333,121.54977,高
U101140,仁愛國中,25,25.03706,121.55166,中
U101141,捷運信義安和站(2號出口),26,25.03304,121.55171,中
U101142,八德市場,30,25.04463,121.53665,中
U101143,昌隆公園,16,25.04448,121.53946,高
U101144,捷運大安森林公園站(2號出口),62,25.03332,121.53435,高
U101145,信義延吉街口,15,25.03318,121.55725,高
U101146,光信公園(光復南路456巷),15,25.03513,121.5561,高
U101147,僑安地下停車場(2號出口)東南側,20,25.0391,121.5569,中
U101148,建國南路一段279巷口,32,25.03635,121.53833,高
U101149,捷運忠孝新生站(6號出口),15,25.04091,121.53295,中
U101150,捷運忠孝新生站(4號出口),34,25.04239,121.53324,中
U101151,大安高工,23,25.03126,121.54339,中
U101152,捷運忠孝新生站(3號出口),23,25.04189,121.53376,中
U101153,瑠公公園,20,25.04201,121.54612,中
U101154,敦化市民路口,23,25.04405,121.5486,高
U101155,捷運大安森林公園站(5號出口),15,25.03336,121.5364,中
U101156,信義建國路口,38,25.0328,121.53746,高
U101157,東豐公園,19,25.03569,121.5451,中
U101158,德安公園(四維路66巷),14,25.03473,121.54767,高
U101159,捷運忠孝復興站(5號出口),41,25.04262,121.54443,高
U101160,捷運忠孝敦化站(2號出口),17,25.04153,121.5524,高
U101161,捷運忠孝敦化站(7號出口),18,25.04159,121.54937,中
U101163,瑞安街208巷,15,25.02979,121.54053,中
U101165,樂利路21巷口,17,25.0277,121.55132,高
U101166,捷運科技大樓站(台北教育大學),46,25.02469,121.54459,高
U101167,捷運國父紀念館站(2號出口),38,25.04122,121.55745,高
U101168,仁愛醫院,30,25.03756,121.54587,中
U101169,捷運信義安和站(4號出口),30,25.03305,121.55378,高
U101170,成功國宅,30,25.02681,121.54668,高
U101171,仁愛延吉街口,25,25.03748,121.55564,高
U101172,捷運信義安和站(1號出口),33,25.03331,121.55265,高
U101173,敦化南路二段103巷口,24,25.0287,121.54904,中
U101174,復興南路二段128巷口,28,25.02861,121.54336,高
U101175,和平東建國南路口,17,25.02575,121.5377,中
U101176,芳蘭山莊,16,25.01223,121.54788,高
U101177,復興南路一段126巷口,15,25.04311,121.54313,中
U101179,捷運東門站(5號出口),28,25.03363,121.52962,高
U101180,仁愛路四段48巷口,11,25.03609,121.54709,中
U101181,捷運公館站(3號出口),90,25.01551,121.53374,中
U101182,臺北科技大學(電機工程系),16,25.04196,121.53653,中
U101183,忠孝東路三段217巷口,34,25.04176,121.54027,高
U101184,新生南路三段94巷口,15,25.01744,121.53334,中
U101185,辛亥新生路口西北側,12,25.02267,121.5341,中
U101186,捷運大安站(6號出口),19,25.03479,121.54376,中
U101187,臥龍街195巷口,14,25.01783,121.55224,高
U101188,辛亥路三段157巷口,19,25.01727,121.54904,高
U101189,臥龍基隆路口,16,25.02039,121.54853,高
U101190,敦親公園,20,25.02347,121.54108,高
U101191,大安運動中心,27,25.02054,121.54561,中
U101192,和平敦化路口,25,25.02444,121.54908,高
U101193,基隆長興路口,43,25.01705,121.54435,中
U101194,仁愛路四段122巷口,16,25.03762,121.55009,中
U101196,市民敦化路口,15,25.04464,121.54944,中
U101197,忠孝東路四段49巷口,15,25.04172,121.54541,中
U101198,市民復興路口(東南側),16,25.04472,121.54401,中
U101199,和平新生路口西南側,13,25.02598,121.53454,高
U101200,全安公園,16,25.02535,121.55101,高
U101201,信義路三段134巷口,19,25.03333,121.53968,中
U101202,仁愛敦南圓環(東南側),16,25.03715,121.54936,中
U101203,臺北遠企購物中心,33,25.02709,121.54902,中
U101204,外交部外交及國際事務學院,17,25.0371,121.54839,中
U101205,四維路170巷口,22,25.02821,121.54864,中
U101206,捷運大安站(3號出口),44,25.03328,121.5425,高
U101207,捷運臺電大樓站(2號出口),31,25.02055,121.52855,中
U101208,信義路四段199巷,15,25.03459,121.55164,中
U101209,臺大資訊大樓,40,25.02101,121.54153,中
U101210,敦化南路二段81巷,40,25.03002,121.54893,高
U101211,原臺北刑務所官舍,23,25.03054,121.52466,高
U101212,捷運國父紀念館站(1號出口),25,25.04205,121.55657,高
U101213,懷生國中,15,25.0401,121.54122,高
U101214,仁愛敦南圓環(西北側),20,25.03827,121.54802,中
U101215,立人國小,17,25.02974,121.55146,中
U101216,和平東路二段18巷口,24,25.02268,121.53608,中
U101217,捷運大安站(5號出口),19,25.03303,121.54372,中
U101218,臨江公園,13,25.02832,121.55592,中
U101219,羅斯福路四段113巷19弄口,14,25.01027,121.53998,中
